iso_code,language_name,longitude,latitude,area,continent,status,family,source
aiw,Aari,36.5721,5.95034,Africa,Africa,not endangered,South Omotic,daniel_aberra_aberra_1994
kbt,Abadi,146.992,-9.03389,Papunesia,Pacific,not endangered,Austronesian,oa_tentative_nodate
mij,Mungbam,10.2267,6.5805,Africa,Africa,shifting,Atlantic-Congo,das_gupta_phrase_1977
aau,Abau,141.324,-3.97222,Papunesia,Pacific,shifting,Sepik,lock_abau_2011
abq,Abaza,42.7273,41.1214,Eurasia,Europe,threatened,Abkhaz-Adyge,ketevan_lomtatidze_lomtatidze_1989
aba,Abé,-4.38497,5.59682,Africa,Africa,not endangered,Atlantic-Congo,gbery_studies_1987
abp,Abenlen Ayta,120.2,15.4131,Papunesia,Asia,shifting,Austronesian,nitsch_ayta_2009
abk,Abkhazian,41.159115,43.056218,Eurasia,Asia,threatened,Abkhaz-Adyge,spruit_abkhaz_1986
abr,Abron,-2.50289,7.72094,Africa,Africa,not endangered,Atlantic-Congo,dolphyne_brong_1979
aah,Abu' Arapesh,142.917031,-3.461612,Papunesia,?,shifting,Nuclear Torricelli,nekitel_sociolinguistic_1985
abz,Abui,124.588,-8.31058,Papunesia,Asia,shifting,Timor-Alor-Pantar,kratochvl_grammar_2007
kgr,Abun,132.416,-0.57073,Papunesia,Asia,shifting,?,berry_description_1999
tpx,Acatepec Me'phaa,-99.0602,17.1034,North America,Americas,not endangered,Otomanguean,NA
acn,Longchuan Achang,97.7438,24.3479,Eurasia,Asia,shifting,Sino-Tibetan,NA
aca,Achagua,-72.2005,4.38649,South America,Americas,shifting,Arawakan,wilson_descripcion_1992
acz,Acheron,30.3187,10.8827,Africa,Africa,threatened,Narrow Talodi,alamin_initial_2012
ace,Achinese,96.6032,3.90757,Eurasia,Asia,threatened,Austronesian,asyik_contextual_1987
acv,Achumawi,-121.191,41.0979,North America,Americas,nearly extinct,Palaihnihan,de_angulo_achumawi_1930
ach,Acoli,32.5147,3.57738,Africa,Africa,not endangered,Nilotic,kitching_outline_1907
fub,Adamawa Fulfulde,13.077338,8.140326,Africa,Africa,not endangered,Atlantic-Congo,taylor_grammar_1953
ada,Adangme,0.13243,5.9437,Africa,Africa,not endangered,Atlantic-Congo,dakubu_dangme_1987
adq,Adangbe,0.727155,6.50546,Africa,Africa,threatened,Atlantic-Congo,sprigge_collected_1967
adn,Adang,124.448,-8.18958,Papunesia,Asia,shifting,Timor-Alor-Pantar,robinson_adang_2014
ort,Kotia-Adivasi Oriya-Desiya,82.8487,18.1046,Eurasia,Asia,not endangered,Indo-European,gauda_study_1989
adt,Adnyamathanha,138.671,-30.1451,Australia,Pacific,shifting,Pama-Nyungan,b_ed_texts_2015
adr,Adonara,123.159,-8.32027,Papunesia,Asia,not endangered,Austronesian,michels_western_2017
ady,Adyghe,39.33,44,Eurasia,Asia,threatened,Abkhaz-Adyge,nikolaeva_quantifiers_2012
adz,Adzera,146.294,-6.39394,Papunesia,Pacific,threatened,Austronesian,susanne_morphology_1986
aar,Afar,41.8083,12.2281,Africa,Africa,not endangered,Afro-Asiatic,parker_prerequisities_1979
afr,Afrikaans,30,-22,Africa,Africa,not endangered,Indo-European,michaelis_afrikaans_2013
agd,Agarabi,145.917,-6.20604,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,loving_higher_1976
agq,Aghem,10.0807,6.38956,Africa,Africa,not endangered,Atlantic-Congo,hyman_aghem_1979
ggr,Aghu Tharnggalu,142.426,-13.735,Australia,Pacific,extinct,Pama-Nyungan,jolly_aghu_1989
ahh,Aghu,140.043,-6.34674,Papunesia,Asia,threatened,Nuclear Trans New Guinea,van_den_heuvel_aghu_2016
xag,Aghwan,47.126667,40.374444,Eurasia,?,extinct,Nakh-Daghestanian,gippert_caucasian_2008
agu,Aguacateco,-91.3153,15.3307,North America,Americas,threatened,Mayan,larsen_aguacatec_1983
agr,Aguaruna,-77.9218,-5.30044,South America,Americas,threatened,Chicham,overall_grammar_2007
msm,Agusan Manobo,125.742,8.62731,Papunesia,Asia,not endangered,Austronesian,verstraelen_elementary_1968
agn,Agutaynen,119.655,10.5328,Papunesia,Asia,not endangered,Austronesian,quakenbush_brief_2010
aha,Ahanta,-1.94657,4.85147,Africa,Africa,not endangered,Atlantic-Congo,mensah_anrindha-erelenza_1973
ahn,Àhàn,6.00896,7.44139,Africa,Africa,shifting,Atlantic-Congo,ogunmodimu_grammar_2015
thm,Thavung,104.229,17.7655,Eurasia,Asia,shifting,Austroasiatic,srisakorn_so_2008
aho,Ahom,88.464,27.2778,Eurasia,Asia,extinct,Tai-Kadai,phukan_introductory_1978
ail,Aimele,142.656,-6.68656,Papunesia,Pacific,shifting,Bosavi,aiton_grammatical_2016
ain,Hokkaido Ainu,142.46167,43.633654,Eurasia,Asia,nearly extinct,Ainu,NA
aib,Ainu (China),76.4209,39.2714,Eurasia,Asia,shifting,Turkic,wurm_ejnu_1996
ajg,Aja (Benin),1.64992,7.06634,Africa,Africa,not endangered,Atlantic-Congo,morley_grammar_2010
aji,Ajië,165.468,-21.3029,Papunesia,Pacific,not endangered,Austronesian,lichtenberk_sketch_1978
cpc,Ajyíninka Apurucayali,-74.61947,-9.82364,South America,Americas,threatened,Arawakan,payne_phonology_1981
abj,Aka-Bea,92.7818,12.3782,Eurasia,Asia,extinct,Great Andamanese,man_lords_1877
akj,Aka-Jeru,92.9504,13.1525,Eurasia,Asia,nearly extinct,Great Andamanese,abbi_unique_2012
ack,Aka-Kora,92.7466,12.0944,Eurasia,Asia,extinct,Great Andamanese,yadav_great_1985
aka,Akan,-1.33254,6.34756,Africa,Africa,not endangered,Atlantic-Congo,bellon_tshi_1911
ake,Akawaio,-60.862,6.16277,South America,Americas,threatened,Cariban,caesar-fox_zauronodok_2003
tsr,Akei,166.767,-15.6377,Papunesia,Pacific,not endangered,Austronesian,ray_grammar_1926
ahk,Akha,100.964,21.2309,Eurasia,Asia,not endangered,Sino-Tibetan,thurgood_sino-tibetan_2003
akv,Akhvakh,46.3037,42.4003,Eurasia,Europe,shifting,Nakh-Daghestanian,creissels_sketch_2020
akk,Akkadian,44.1,33.1,Eurasia,?,extinct,Afro-Asiatic,huehnergard_grammar_1997
akl,Aklanon,122.354,11.5543,Papunesia,Asia,not endangered,Austronesian,cruz_grammar_1968
bss,Akoose,9.65522,4.9243,Africa,Africa,not endangered,Atlantic-Congo,hedinger_grammar_2008
miw,Akoye,145.669,-7.66067,Papunesia,Pacific,shifting,Angan,whitney_akoye_1991
aqz,Akuntsu,-60.9716,-12.8322,South America,?,nearly extinct,Tupian,aragon_grammar_2014
akz,Alabama,-94.62848,30.76738,North America,Americas,shifting,Muskogean,scancarelli_alabama_2005
alw,Alaba-K'abeena,38.1732,7.39014,Africa,Africa,not endangered,Afro-Asiatic,schneider-blum_grammar_2007
mim,Alacatlatzala Mixtec,-98.4674,17.4944,North America,Americas,threatened,Otomanguean,zylstra_syntactic_1991
wbj,Alagwa,35.7231,-4.64148,Africa,Africa,shifting,Afro-Asiatic,mous_alagwa_2016
amp,Alamblak,143.316,-4.66307,Papunesia,Pacific,shifting,Sepik,bruce_grammar_1979
alh,Alawa,134.282,-15.5458,Australia,Pacific,nearly extinct,Mangarrayi-Maran,sharpe_alawa_1972
bhk,Inland-Buhi-Daraga Bikol,123.49,13.1989,Papunesia,Asia,?,Austronesian,fincke_sto_2002
gah,Alekano,145.387,-6.03901,Papunesia,Pacific,threatened,Nuclear Trans New Guinea,deibler_semantic_1976
ale,Aleut,-174.29,52.1228,North America,Americas,shifting,Eskimo-Aleut,aginsky_critical_1933
arq,Algerian Arabic,3.23033,35.4208,Africa,Africa,not endangered,Afro-Asiatic,souag_notes_2005
alq,Algonquin,-77.5258,47.3876,North America,Americas,threatened,Algic,schoolcraft_essary_1852
aol,Alorese,124.264,-8.20382,Papunesia,Asia,not endangered,Austronesian,klamer_short_2011
aes,Alsea-Yaquina,-123.94,44.408,North America,Americas,extinct,?,frachtenberg_alsea_1918
alp,Alune,128.394,-3.11477,Papunesia,Asia,threatened,Austronesian,NA
alz,Alur,31.0016,2.36213,Africa,Africa,not endangered,Nilotic,ringe_simple_1953
alr,Alutor,165.653,60.3844,Eurasia,Asia,moribund,Chukotko-Kamchatkan,kibrik_alutor_2004
aly,Alyawarr,136.835,-21.0427,Australia,Pacific,threatened,Pama-Nyungan,yallop_alyawarra_1977
amc,Amahuaca,-72.3208,-10.2012,South America,Americas,moribund,Pano-Tacanan,russell_syntactonemics_1959
?,Amam,146.958832,-7.849821,Papunesia,?,?,Goilalan,aki_tentative_2013
amn,Amanab,141.178,-3.51516,Papunesia,Pacific,shifting,Border,minch_essential_1991
amm,Ama (Papua New Guinea),141.658,-4.20192,Papunesia,Pacific,threatened,Left May,arsjo_words_1999
amg,Amurdak,132.878,-11.9876,Australia,Pacific,nearly extinct,Iwaidjan Proper,robert_handelsmann_towards_1991
aie,Amara,148.68,-5.55778,Papunesia,Pacific,shifting,Austronesian,william_ed_amara_1996
amr,Amarakaeri,-70.5533,-12.4931,South America,Americas,shifting,Harakmbut,NA
nyi,Ama (Sudan),29.4332,12.0993,Africa,Africa,not endangered,Nyimang,schadeberg_adjectives_1981
amk,Ambai,136.526,-1.88126,Papunesia,Asia,threatened,Austronesian,st-pierre-tanguay_grammar_2007
abs,Ambonese Malay,128.184,-3.71342,Papunesia,Asia,not endangered,Austronesian,minde_malayu_1997
abt,Ambulas,143.059,-3.7801,Papunesia,Pacific,threatened,Ndu,wilson_abulas_1973
adx,Amdo Tibetan,100.485,34.5177,Eurasia,Asia,not endangered,Sino-Tibetan,shis_ahp_nodate
aey,Amele,145.687,-5.29126,Papunesia,Pacific,threatened,Nuclear Trans New Guinea,roberts_amele_2016
amh,Amharic,39.543456,11.708182,Africa,Africa,not endangered,Afro-Asiatic,leslau_reference_1995
amy,Ami,130.04,-13.5573,Australia,Pacific,nearly extinct,Western Daly,ford_description_1998
ami,Amis,121.348,23.0917,Papunesia,Asia,threatened,Austronesian,NA
amo,Amo,8.65405,10.3229,Africa,Africa,not endangered,Atlantic-Congo,a_di_luzio_preliminary_1972
imi,Anamuxra,144.991,-4.63762,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,andrew_ingram_anamuxra_2001
grc,Ancient Greek,21.9129,39.8155,Eurasia,Europe,extinct,Indo-European,morwood_oxford_2002
hbo,Ancient Hebrew,35.1725,31.7761,Eurasia,Asia,extinct,Afro-Asiatic,huehnergard_pre-modern_2019
xna,Ancient North Arabian,?,?,Eurasia,?,extinct,Afro-Asiatic,woodard_ancient_2008
hca,Andaman Creole Hindi,92.738,11.676,Papunesia,Asia,not endangered,Indo-European,sharma_hindi_2005
xaa,Andalusian Arabic,?,?,Eurasia,?,extinct,Afro-Asiatic,corriente_descriptive_2013
aty,Aneityum,169.825,-20.1864,Papunesia,Pacific,shifting,Austronesian,lynch_anejom_1982
