,genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
0,nonfiction,"Amazon Digital Services,  Inc.",18.354,18.354,91.77,55.062,23,(Single-Author Publisher),single author,4.48,3.99,6256,41
1,nonfiction,"Amazon Digital Services,  Inc.",29.28,29.28,146.4,87.84,24,(Single-Author Publisher),single author,4.55,6.1,5633,40
2,nonfiction,"Amazon Digital Services,  Inc.",15.354,15.354,76.77,46.062,9,(Small or Medium Publisher),small/medium,4.41,8.53,32485,85
3,genre fiction,"Amazon Digital Services,  Inc.",0.876,0.876,4.38,2.628,1,(Small or Medium Publisher),small/medium,5.0,4.38,94482,11
4,Comics,"Amazon Digital Services,  Inc.",13.986,13.986,69.93,41.958,7,(Small or Medium Publisher),small/medium,4.02,9.99,39190,43
5,nonfiction,"Amazon Digital Services,  Inc.",3.588,8.372,11.96,0.0,4,(Indie Publisher),indie,4.91,2.99,59257,12
6,nonfiction,Simon and Schuster Digital Sales Inc,12.74,12.74,63.7,38.22,5,Atria Books,big five,4.6,12.74,48093,61
7,genre fiction,"Amazon Digital Services,  Inc.",8.3655,4.5045,12.87,0.0,13,(Indie Publisher),indie,4.17,0.99,15230,619
8,nonfiction,"Amazon Digital Services,  Inc.",8.394,8.394,41.97,25.182,3,(Small or Medium Publisher),small/medium,5.0,13.99,67032,5
9,genre fiction,"Amazon Digital Services,  Inc.",1.844,1.844,9.22,5.532,2,(Small or Medium Publisher),small/medium,4.0,4.61,78770,1
10,nonfiction,"Amazon Digital Services,  Inc.",10.776,25.144,35.92,0.0,8,(Indie Publisher),indie,4.05,4.49,37397,36
11,nonfiction,"Amazon Digital Services,  Inc.",4.784,4.784,23.92,14.352,8,(Single-Author Publisher),single author,4.19,2.99,34028,183
12,nonfiction,"Amazon Digital Services,  Inc.",7.722,4.158,11.88,0.0,12,(Indie Publisher),indie,4.42,0.99,18713,7
13,nonfiction,"Amazon Digital Services,  Inc.",6.592,6.592,32.96,19.776,2,(Small or Medium Publisher),small/medium,4.59,16.48,81968,60
14,genre fiction,"Amazon Digital Services,  Inc.",0.396,0.396,1.98,1.188,2,(Small or Medium Publisher),small/medium,4.0,0.99,84499,2
15,genre fiction,Random House LLC,45.954,45.954,229.77,137.862,23,Vintage,big five,4.57,9.99,6130,122
16,genre fiction,"Amazon Digital Services,  Inc.",43.1145,23.2155,66.33,0.0,67,(Indie Publisher),indie,4.07,0.99,3161,540
17,genre fiction,"Amazon Digital Services,  Inc.",9.568,9.568,47.84,28.704,16,(Small or Medium Publisher),small/medium,4.53,2.99,9379,101
18,nonfiction,"Amazon Digital Services,  Inc.",5.994,5.994,29.97,17.982,3,(Small or Medium Publisher),small/medium,4.44,9.99,68187,114
19,genre fiction,"Amazon Digital Services,  Inc.",77.805,181.545,259.35,0.0,65,(Indie Publisher),indie,0.0,3.99,3229,0
20,fiction,"Amazon Digital Services,  Inc.",4.752,4.752,23.76,14.256,24,(Single-Author Publisher),single author,5.0,0.99,5806,2
21,nonfiction,"Amazon Digital Services,  Inc.",1.478,1.478,7.39,4.434,1,(Small or Medium Publisher),small/medium,4.57,7.39,89402,14
22,nonfiction,"Amazon Digital Services,  Inc.",3.184,3.184,15.92,9.552,8,(Single-Author Publisher),single author,4.59,1.99,34886,10
23,children,"Amazon Digital Services,  Inc.",0.876,0.876,4.38,2.628,1,(Small or Medium Publisher),small/medium,4.33,4.38,88474,6
24,genre fiction,"Amazon Digital Services,  Inc.",99.567,232.323,331.89,0.0,111,(Indie Publisher),indie,4.57,2.99,1057,1186
25,nonfiction,"Amazon Digital Services,  Inc.",6.956,6.956,34.78,20.868,2,(Small or Medium Publisher),small/medium,4.41,17.39,83451,31
26,fiction,"Amazon Digital Services,  Inc.",11.6415,6.2685,17.91,0.0,9,(Indie Publisher),indie,0.0,1.99,32642,0
27,genre fiction,"Amazon Digital Services,  Inc.",107.73,251.37,359.1,0.0,90,(Indie Publisher),indie,4.5,3.99,1994,256
28,nonfiction,Random House LLC,15.386,15.386,76.93,46.158,7,Schocken,big five,4.73,10.99,40803,114
29,children,"Amazon Digital Services,  Inc.",3.98,3.98,19.9,11.94,10,(Small or Medium Publisher),small/medium,4.41,1.99,28586,12
30,nonfiction,"Amazon Digital Services,  Inc.",8.106,8.106,40.53,24.318,3,(Small or Medium Publisher),small/medium,2.85,13.51,70769,7
31,genre fiction,Penguin Group (USA) LLC,5.99,5.99,29.95,17.97,5,Ace,big five,4.58,5.99,49056,12
32,nonfiction,Simon and Schuster Digital Sales Inc,32.382,32.382,161.91,97.146,21,Atria Books,big five,4.67,7.71,6952,643
33,genre fiction,HarperCollins Publishers,264.084,264.084,1320.42,792.252,118,Harper,big five,4.52,11.19,800,268
34,genre fiction,"Amazon Digital Services,  Inc.",3.861,2.079,5.94,0.0,6,(Indie Publisher),indie,5.0,0.99,43536,1
