Student_ID,Biology,Chemistry,Physics,English,Drama,Art
23583,97,71,67,62,72,54
69204,88,74,97,53,67,97
74763,74,64,68,57,70,64
79080,81,25,81,94,91,88
61824,71,69,83,97,98,75
49915,58,54,54,78,87,74
16055,63,72,58,67,91,92
47192,70,54,70,94,94,52
48641,70,66,96,91,53,64
65083,90,27,93,76,72,88
56645,99,37,66,76,86,71
62012,92,59,86,63,96,81
92865,67,29,50,74,75,78
13367,99,44,79,90,61,51
69346,58,42,73,60,76,98
41169,56,69,75,55,85,68
68390,79,62,94,96,55,79
98353,68,38,70,84,68,51
58887,82,54,92,53,81,56
69618,94,32,88,81,96,62
51213,87,34,50,69,75,52
79018,96,64,55,59,99,54
46410,56,30,77,99,92,55
90278,74,73,82,98,89,82
34549,93,65,61,79,59,92
52230,58,70,59,55,99,54
13918,98,51,77,76,75,81
14379,77,56,55,87,57,77
54578,94,45,51,88,58,70
79496,80,66,51,69,66,53
