"","region","category","language","mother_tongue","most_at_home","most_at_work","lang_known"
"1","St. John's","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,0
"2","Halifax","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,0
"3","Moncton","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"4","Saint John","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"5","Saguenay","Aboriginal languages","Aboriginal languages, n.o.s.",5,5,0,0
"6","Québec","Aboriginal languages","Aboriginal languages, n.o.s.",0,5,0,20
"7","Sherbrooke","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"8","Trois-Rivières","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"9","Montréal","Aboriginal languages","Aboriginal languages, n.o.s.",30,15,0,10
"10","Kingston","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"11","Belleville","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"12","Peterborough","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,10
"13","Oshawa","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,0
"14","Toronto","Aboriginal languages","Aboriginal languages, n.o.s.",80,50,0,25
"15","Hamilton","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,10
"16","St. Catharines - Niagara","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,20
"17","Kitchener - Cambridge - Waterloo","Aboriginal languages","Aboriginal languages, n.o.s.",5,5,0,0
"18","Brantford","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,0
"19","Guelph","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"20","London","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,0
"21","Windsor","Aboriginal languages","Aboriginal languages, n.o.s.",15,15,0,0
"22","Barrie","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"23","Greater Sudbury","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,0
"24","Thunder Bay","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,0
"25","Winnipeg","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,20
"26","Regina","Aboriginal languages","Aboriginal languages, n.o.s.",5,0,0,20
"27","Saskatoon","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"28","Lethbridge","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,0
"29","Calgary","Aboriginal languages","Aboriginal languages, n.o.s.",20,5,0,15
"30","Edmonton","Aboriginal languages","Aboriginal languages, n.o.s.",25,10,0,0
"31","Ottawa - Gatineau","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,0
"32","Kelowna","Aboriginal languages","Aboriginal languages, n.o.s.",0,0,0,10
"33","Abbotsford - Mission","Aboriginal languages","Aboriginal languages, n.o.s.",5,5,0,0
"34","Vancouver","Aboriginal languages","Aboriginal languages, n.o.s.",70,15,0,35
"35","Victoria","Aboriginal languages","Aboriginal languages, n.o.s.",10,0,0,25
"36","St. John's","Non-Official & Non-Aboriginal languages","Afrikaans",25,0,0,40
"37","Halifax","Non-Official & Non-Aboriginal languages","Afrikaans",75,20,0,245
"38","Moncton","Non-Official & Non-Aboriginal languages","Afrikaans",20,10,0,50
"39","Saint John","Non-Official & Non-Aboriginal languages","Afrikaans",5,0,0,20
"40","Saguenay","Non-Official & Non-Aboriginal languages","Afrikaans",0,0,0,0
"41","Québec","Non-Official & Non-Aboriginal languages","Afrikaans",10,0,0,25
"42","Sherbrooke","Non-Official & Non-Aboriginal languages","Afrikaans",0,0,0,0
"43","Trois-Rivières","Non-Official & Non-Aboriginal languages","Afrikaans",0,0,0,0
"44","Montréal","Non-Official & Non-Aboriginal languages","Afrikaans",90,10,0,300
"45","Kingston","Non-Official & Non-Aboriginal languages","Afrikaans",40,20,0,80
"46","Belleville","Non-Official & Non-Aboriginal languages","Afrikaans",5,0,0,10
"47","Peterborough","Non-Official & Non-Aboriginal languages","Afrikaans",15,0,0,55
